tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
349,cust_40715,True,2025-09-16,"I was charged twice for order #601463916, need one of these reversed ASAP",350,
184,AmazonHelp,False,2025-02-11,"Sent a fresh return label for #919795579 to your email, this one's valid for 30 days. ^MT",,183
111,cust_48254,True,2025-09-18,"Order #936043811 marked delivered 3 days ago in Austin but nothing here, this is the second time",112,
19,cust_39831,True,2025-04-10,can you tell me where my package #645119047 is? tracking hasn't moved since Tuesday 😡,20,
101,cust_74451,True,2025-02-25,"The monitor I ordered (#666585408) showed up smashed, box was crushed URGENT",102,
379,cust_45038,True,2025-07-12,My email got changed on the account without me doing it smh,380,
465,cust_50043,True,2025-04-23,What's the warranty on the laptop stand?,466,
141,cust_33021,True,2025-04-14,"My order #304451095 arrived completely damaged, the laptop stand is broken in the box this is ridiculous",142,
129,cust_60140,True,2025-04-25,"Package #100614068 says delivered but I never got it, checked with neighbors too",130,
228,AmazonHelp,False,2025-08-21,"Sent a fresh return label for #184611066 to your email, this one's valid for 30 days. ^MT",,227
256,AmazonHelp,False,2025-07-28,No problem! I've started a return for the blender on order #553035110 - prepaid label is on its way to your email. Refund posts once it's scanned at drop-off. ^MT,,255
418,AmazonHelp,False,2025-07-13,That sounds like it needs our account security team - I've escalated this and they'll reach out to verify your identity and secure the account. Please don't share any codes over social media. ^MT,,417
463,cust_27290,True,2025-05-15,Is the keyboard compatible with older models? thanks,464,
143,cust_54396,True,2025-02-24,"The monitor I ordered (#860038427) showed up smashed, box was crushed smh",144,
457,cust_73968,True,2025-06-28,General question - do you guys price match other retailers? this is ridiculous,458,
224,AmazonHelp,False,2025-05-22,"I see the refund for #134467368 was processed on our end 3 days ago - refunds typically take 3-5 business days to appear on your statement. If it's been longer than that, we'll escalate to billing. ^KP",,223
274,AmazonHelp,False,2025-03-15,"I understand the concern - I'm unable to view full card details here, but I've escalated this to our account security team who will investigate the charge on #437882805 and contact you directly. ^MT",,273
382,AmazonHelp,False,2025-07-22,"For login issues, try requesting the reset from a private/incognito window first - if it still doesn't arrive, I'm escalating to our access team now. ^KP",,381
31,cust_89516,True,2025-06-24,"Order #355555531 still says 'preparing for shipment' after 2 days, what's going on thanks",32,
238,AmazonHelp,False,2025-06-12,"I see the refund for #335493870 was processed on our end 2 days ago - refunds typically take 3-5 business days to appear on your statement. If it's been longer than that, we'll escalate to billing. ^KP",,237
373,cust_29795,True,2025-01-16,"I think my account was hacked, orders I didn't place are showing up pls help",374,
341,cust_94085,True,2025-07-21,"My promo code didn't apply on order #969119330, got charged full price",342,
113,cust_76616,True,2025-03-12,"Package #751325257 says delivered but I never got it, checked with neighbors too pls help",114,
506,AmazonHelp,False,2025-08-12,Glad you're loving it! Thanks for the kind words. ^AG,,505
59,cust_25012,True,2025-03-19,"Order #335809993 still says 'preparing for shipment' after 12 days, what's going on URGENT",60,
112,AmazonHelp,False,2025-07-25,"So sorry to hear that! For a damaged phone case on order #936043811, we can send a free replacement or full refund right away - which would you prefer? ^KP",,111
309,cust_45842,True,2025-05-13,"Charged for order #711684318 but I cancelled it, why do I still see the charge 😡",310,
36,AmazonHelp,False,2025-07-28,"Hi there, sorry for the wait! I've checked order #933223566 and it's currently at our fulfillment center, scheduled to ship within 24 hours. You'll get a tracking email once it's out. ^AG",,35
149,cust_70852,True,2025-05-23,"Got the wrong item for order #366992705 - ordered a keyboard, got something else entirely",150,
272,AmazonHelp,False,2025-05-12,"I understand the concern - I'm unable to view full card details here, but I've escalated this to our account security team who will investigate the charge on #184611066 and contact you directly. ^MT",,271
446,AmazonHelp,False,2025-01-24,That sounds like it needs our account security team - I've escalated this and they'll reach out to verify your identity and secure the account. Please don't share any codes over social media. ^MT,,445
33,cust_97012,True,2025-06-12,can you tell me where my package #329509408 is? tracking hasn't moved since Tuesday,34,
351,cust_98150,True,2025-06-17,"Someone used my account to place order #584779555, I never authorized this purchase URGENT",352,
393,cust_21232,True,2025-05-17,"Two-factor code never comes through, been trying for 10 minutes URGENT",394,
538,AmazonHelp,False,2025-03-28,"Color availability varies by seller, best to check the listing's variant options directly. ^MT",,537
159,cust_29340,True,2025-01-18,"Got the wrong item for order #596348124 - ordered a phone case, got something else entirely pls help",160,
485,cust_86865,True,2025-02-19,"Just wanted to say the running shoes I got is great, fast shipping too! ??",486,
178,AmazonHelp,False,2025-06-27,"Ugh, that's frustrating. For the wrong item on order #823019672, I've started a free return label and a replacement order for the correct running shoes is going out today. ^AG",,177
459,cust_66314,True,2025-04-25,What's the warranty on the backpack? ??,460,
257,cust_20077,True,2025-03-26,"Refund for order #134126396 was approved but never hit my card, it's been 3 days this is ridiculous",258,
483,cust_20803,True,2025-09-27,General question - do you guys price match other retailers? thanks,484,
423,cust_37114,True,2025-09-25,"Can't log in, it says my account is suspended, no idea why this is ridiculous",424,
304,AmazonHelp,False,2025-09-16,"Pending charges for cancelled orders typically drop off within 24-48 hours and don't actually get collected - if #120912992 still shows as charged after 3 days, let us know. ^KP",,303
169,cust_89354,True,2025-07-13,"Got the wrong item for order #355555531 - ordered a desk lamp, got something else entirely smh",170,
100,AmazonHelp,False,2025-01-15,"Ugh, that's frustrating. For the wrong item on order #193349856, I've started a free return label and a replacement order for the correct phone case is going out today. ^AG",,99
21,cust_80282,True,2025-06-10,"Order #602564736 still says 'preparing for shipment' after 2 days, what's going on ??",22,
241,cust_53583,True,2025-03-11,Requested a refund for #465260635 2 days ago and still haven't seen the money back URGENT,242,
30,AmazonHelp,False,2025-05-22,"Hi there, sorry for the wait! I've checked order #273461957 and it's currently at our fulfillment center, scheduled to ship within 24 hours. You'll get a tracking email once it's out. ^AG",,29
37,cust_10726,True,2025-02-23,"Hey AmazonHelp, when will order #781802744 actually ship? no updates on my end pls help",38,
537,cust_52413,True,2025-01-10,"Just wanted to say the keyboard I got is great, fast shipping too!",538,
94,AmazonHelp,False,2025-02-27,"So sorry to hear that! For a damaged desk lamp on order #528853029, we can send a free replacement or full refund right away - which would you prefer? ^KP",,93
271,cust_39552,True,2025-06-26,"There's a charge on my card I don't recognize, possibly related to order #184611066?? this looks like fraud this is ridiculous",272,
367,cust_12125,True,2025-05-27,"Locked out of my account, password reset email never arrives pls help",368,
68,AmazonHelp,False,2025-04-24,Thanks for flagging this. Order #709194872 is delayed due to high demand but is confirmed to ship by tomorrow. We'll email tracking as soon as it moves. ^KP,,67
533,cust_83873,True,2025-03-28,What's the warranty on the laptop stand? this is ridiculous,534,
63,cust_94874,True,2025-06-10,Is order #718702544 lost? tracking page hasn't refreshed in 2 days this is ridiculous,64,
498,AmazonHelp,False,2025-08-19,"Great question - the phone case comes with a standard 1-year warranty, details are on the product page. ^KP",,497
473,cust_23168,True,2025-03-13,General question - do you guys price match other retailers? pls help,474,
276,AmazonHelp,False,2025-07-10,"I can see the duplicate charge on #115846122 - I've flagged it for our billing team, the extra charge will be reversed within 3-5 business days. ^KP",,275
157,cust_16629,True,2025-06-17,"Package #176667861 says delivered but I never got it, checked with neighbors too URGENT",158,
66,AmazonHelp,False,2025-08-24,"I checked order #748245888 - it's processing and should update within 24-48 hrs. If it doesn't move by then, reply here and we'll escalate to the warehouse team. ^AG",,65
392,AmazonHelp,False,2025-08-25,"This needs identity verification which we can't do here for security reasons - escalating you to our account recovery team, they'll DM you next steps. ^AG",,391
152,AmazonHelp,False,2025-06-27,"So sorry to hear that! For a damaged headphones on order #128492780, we can send a free replacement or full refund right away - which would you prefer? ^KP",,151
482,AmazonHelp,False,2025-01-22,Glad you're loving it! Thanks for the kind words. ^AG,,481
264,AmazonHelp,False,2025-06-26,No problem! I've started a return for the yoga mat on order #506919288 - prepaid label is on its way to your email. Refund posts once it's scanned at drop-off. ^MT,,263
254,AmazonHelp,False,2025-09-15,Order #642621108 hasn't shipped yet so I've cancelled it and refunded the full amount - you'll see it within 3-5 business days. ^AG,,253
70,AmazonHelp,False,2025-06-18,"Hi there, sorry for the wait! I've checked order #360916298 and it's currently at our fulfillment center, scheduled to ship within 24 hours. You'll get a tracking email once it's out. ^AG",,69
10,AmazonHelp,False,2025-07-18,"I checked order #793830224 - it's processing and should update within 24-48 hrs. If it doesn't move by then, reply here and we'll escalate to the warehouse team. ^AG",,9
303,cust_71814,True,2025-01-14,"There's a charge on my card I don't recognize, possibly related to order #120912992?? this looks like fraud ??",304,
148,AmazonHelp,False,2025-08-10,"Ugh, that's frustrating. For the wrong item on order #922308461, I've started a free return label and a replacement order for the correct laptop stand is going out today. ^AG",,147
435,cust_27556,True,2025-06-13,"Can't log in, it says my account is suspended, no idea why URGENT",436,
386,AmazonHelp,False,2025-01-15,"For login issues, try requesting the reset from a private/incognito window first - if it still doesn't arrive, I'm escalating to our access team now. ^KP",,385
476,AmazonHelp,False,2025-05-16,Glad you're loving it! Thanks for the kind words. ^AG,,475
